KNOWN VARIABLE VALUES
Porosity,Permeability
0.1,1e-14

KNOWN WELL PARAMETERS
Initial Pressure,Initial X,Layer Thickness,Action Well Radius,Rock Specific Heat,Rock Heat Conductivity,Rock Density,Rock Compressibility
4000000.0,225.0,100.0,0.1,1000.0,2.5,2500.0,0.0

GRID INFORMATION
Number of Grid Blocks,Number of Constant Sized Blocks,Constant Block Size,Block Growth Factor
100,20,0.01,1.2

PUMP INFORMATION
Pumping Scheme,Number of Pump Times,Deliverability,Production Index,Cutoff Pressure
Measured Flows,3,0,0.0,0.0

Time [s],Mass Flowrate [kg/s]
0.0,-8.0
21600.0,-5.0
43200.0,0.0

OBSERVATION POINT 1
Property Observed,Radial Location [m],Number of Observations,Error Standard Deviation
Pressure,0.1,200,25000

Time [s],Observation
0.0,4044630.8029325525
434.1708542713568,2989881.2407389507
868.3417085427136,2941401.3316519423
1302.5125628140704,2936260.392159424
1736.6834170854272,2900649.8319876012
2170.854271356784,2808361.814767294
2605.025125628141,2840398.777281668
3039.1959798994976,2798261.961991103
3473.3668341708544,2787060.2181255464
3907.537688442211,2789078.988551483
4341.708542713568,2772501.975158405
4775.879396984925,2796753.1488954015
5210.050251256282,2771092.169699389
5644.221105527638,2747447.5840787482
6078.391959798995,2748687.840618799
6512.562814070352,2739469.848253882
6946.733668341709,2762817.1229227665
7380.904522613066,2714183.2616010914
7815.075376884422,2721977.677718681
8249.24623115578,2687422.221407209
8683.417085427136,2639674.6999387736
9117.587939698493,2716272.3996516145
9551.75879396985,2717289.346616581
9985.929648241206,2672519.467060731
10420.100502512563,2744776.417755388
10854.27135678392,2646773.424306874
11288.442211055277,2681094.7001302987
11722.613065326634,2671707.767269137
12156.78391959799,2711858.1387851164
12590.954773869347,2707008.027918197
13025.125628140704,2670618.8933664667
13459.29648241206,2673235.842034295
13893.467336683418,2638273.9655484892
14327.638190954774,2607778.6477627507
14761.809045226131,2646334.627829224
15195.979899497488,2656416.976857557
15630.150753768845,2680988.4659551056
16064.321608040202,2677754.83855101
16498.49246231156,2635075.5907660825
16932.663316582915,2634831.792874589
17366.834170854272,2613617.83145107
17801.00502512563,2601944.1572976736
18235.175879396986,2592481.7156984806
18669.346733668342,2682838.045861245
19103.5175879397,2618471.611026616
19537.688442211056,2618213.3101774636
19971.859296482413,2595577.3772070003
20406.03015075377,2644964.448741411
20840.201005025127,2582524.494746868
21274.371859296483,2616076.8254375695
21708.54271356784,2931820.4326207754
22142.713567839197,3017538.2636870625
22576.884422110554,3013075.6508847503
23011.05527638191,3006948.4851276
23445.226130653267,3043530.9689363344
23879.396984924624,3060670.403422443
24313.56783919598,3055866.25369929
24747.738693467338,3065364.3896977725
25181.909547738695,3044572.8987595323
25616.08040201005,3053873.688185713
26050.251256281408,3048086.784543824
26484.422110552765,3057744.481255207
26918.59296482412,3047756.450839482
27352.76381909548,3025930.9512789333
27786.934673366835,3075194.22012337
28221.105527638192,3061487.8576453873
28655.27638190955,3031226.241254167
29089.447236180906,3084883.8617575746
29523.618090452263,3050827.2945408467
29957.78894472362,3075616.9040464987
30391.959798994976,3093193.4770895676
30826.130653266333,3078388.126159551
31260.30150753769,3104269.5213995795
31694.472361809047,3044465.478554284
32128.643216080403,3086102.4793622983
32562.81407035176,3058770.7507413267
32996.98492462312,3054199.8404392893
33431.15577889448,3061685.683876216
33865.32663316583,3068516.094508947
34299.497487437184,3077858.30936496
34733.668341708544,3046971.4784113565
35167.839195979905,3099229.703444921
35602.01005025126,3088186.822244424
36036.18090452261,3037485.1268312433
36470.35175879397,3113933.8862523325
36904.52261306533,3124158.912291197
37338.693467336685,3105912.257886064
37772.86432160804,3071418.987953438
38207.0351758794,3048750.0399340964
38641.20603015076,3102375.185039122
39075.37688442211,3065343.0368871586
39509.547738693465,3106307.429524575
39943.718592964826,3080475.2671601046
40377.889447236186,3099732.8281221795
40812.06030150754,3083849.6557824216
41246.23115577889,3092512.3736032303
41680.40201005025,3074697.217229064
42114.57286432161,3119403.6691146926
42548.74371859297,3077215.234055778
42982.91457286432,3083952.8281823406
43417.08542713568,3719294.0801130915
43851.25628140704,3700014.057059843
44285.427135678394,3730738.528342148
44719.59798994975,3806311.6588101815
45153.76884422111,3766420.861236694
45587.93969849247,3856417.3161985804
46022.11055276382,3806131.1961827804
46456.281407035174,3805719.669751229
46890.452261306535,3880303.6379200653
47324.623115577895,3875333.5495426217
47758.79396984925,3890703.6198517755
48192.9648241206,3871423.2952031423
48627.13567839196,3831312.2618603217
49061.30653266332,3905649.9707849748
49495.477386934675,3854443.8978453265
49929.64824120603,3885144.7988355206
50363.81909547739,3892179.9676521127
50797.98994974875,3867447.029283812
51232.1608040201,3889866.394074993
51666.331658291456,3900450.545539909
52100.502512562816,3889275.2353205374
52534.67336683418,3854429.0836159894
52968.84422110553,3892154.377915258
53403.01507537688,3920415.006412668
53837.18592964824,3871426.2124491516
54271.356783919604,3887256.725485826
54705.52763819096,3881986.260720906
55139.69849246231,3941651.9786722413
55573.86934673367,3913666.5313083986
56008.04020100503,3908686.161537456
56442.211055276384,3880551.0454254975
56876.38190954774,3915263.0714463615
57310.5527638191,3886090.410643647
57744.72361809046,3905432.4591846927
58178.89447236181,3889964.3189993086
58613.065326633165,3924540.5909433872
59047.236180904525,3923343.951970369
59481.407035175886,3904772.0648726164
59915.57788944724,3921305.937608955
60349.74874371859,3884838.2042849795
60783.91959798995,3875932.79673313
61218.09045226131,3925912.4955724236
61652.261306532666,3920113.327946444
