KNOWN VARIABLE VALUES
Porosity,Permeability
0.1,1e-14

KNOWN WELL PARAMETERS
Initial Pressure,Initial X,Layer Thickness,Action Well Radius,Rock Specific Heat,Rock Heat Conductivity,Rock Density,Rock Compressibility
3600000.0,240.0,100.0,0.0,1000.0,2.5,2500.0,0.0

GRID INFORMATION
Number of Grid Blocks,Number of Constant Sized Blocks,Constant Block Size,Block Growth Factor
100,20,0.01,1.2

PUMP INFORMATION
Pumping Scheme,Number of Pump Times,Deliverability,Production Index,Cutoff Pressure
Step Flows,1,0,0.0,0.0

Time [s],Mass Flowrate [kg/s]
43200.0,-5.0

OBSERVATION POINT 1
Property Observed,Radial Location [m],Number of Observations
Pressure,0.009999,644

Time [s],Observation
0.0,3600000.0
391.91290824261273,2570162.813091679
783.8258164852255,2497562.2342742076
1175.7387247278382,2456142.7086911825
1567.651632970451,2425026.792089163
1959.5645412130636,2399794.2867857404
2351.4774494556764,2380194.951171408
2743.3903576982893,2363405.844632979
3135.303265940902,2348579.041673254
3527.2161741835143,2335000.7467119396
3919.1290824261273,2323425.4323992543
4311.04199066874,2313664.591507285
4702.954898911353,2303930.5533304075
5094.867807153965,2293646.2513278406
5486.780715396579,2284418.8953258162
5878.693623639191,2277704.5001001004
6270.606531881804,2272690.4052376393
6662.519440124416,2267070.7491820166
7054.432348367029,2259368.6754056285
7446.345256609642,2250192.5785581777
7838.258164852255,2241633.338015639
8230.171073094867,2235626.123590888
8622.08398133748,2232561.168073346
9013.996889580092,2231083.666856247
9405.909797822706,2229044.9308040394
9797.822706065319,2224751.014141734
10189.73561430793,2217727.1268504146
10581.648522550544,2208789.190084835
10973.561430793157,2199601.7109075286
11365.474339035769,2191988.50651112
11757.387247278382,2187245.408305992
12149.300155520994,2185685.2169990777
12541.213063763607,2186578.2868931238
12933.12597200622,2188482.1440407843
13325.038880248832,2189769.817451463
13716.951788491446,2189114.7461275207
14108.864696734057,2185784.6064414172
14500.77760497667,2179725.4345457708
14892.690513219284,2171489.2875817427
15284.603421461896,2162067.309810185
15676.51632970451,2152672.8822610485
16068.429237947123,2144506.8235296053
16460.342146189734,2138536.068325489
16852.255054432346,2135321.375137148
17244.16796267496,2134928.3330052495
17636.080870917573,2136941.6515929545
18027.993779160184,2140575.65497895
18419.9066874028,2144845.6039438667
18811.81959564541,2148750.5019434616
19203.732503888023,2151424.8250102536
19595.645412130638,2152236.95897304
19987.55832037325,2150833.0465694703
20379.47122861586,2147137.715918216
20771.384136858476,2141326.5554124187
21163.297045101088,2133782.5859206514
21555.2099533437,2125044.3846378676
21947.122861586315,2115749.622939771
22339.035769828926,2106575.75224714
22730.948678071538,2098179.513360243
23122.86158631415,2091138.297869854
23514.774494556765,2085898.1245413066
23906.687402799376,2082734.0050385194
24298.600311041988,2081728.0608874653
24690.513219284603,2082768.7650524864
25082.426127527215,2085571.4605286673
25474.339035769826,2089716.6492260615
25866.25194401244,2094699.5249505783
26258.164852255053,2099982.796118331
26650.077760497665,2105045.371508068
27041.99066874028,2109421.5798335155
27433.90357698289,2112728.3780485126
27825.816485225503,2114680.562281156
28217.729393468115,2115095.7511945507
28609.64230171073,2113891.7197560826
29001.55520995334,2111078.692809378
29393.468118195953,2106748.7623381023
29785.38102643857,2101063.9535521534
30177.29393468118,2094243.8340156132
30569.20684292379,2086553.0489386723
30961.119751166407,2078288.8206061686
31353.03265940902,2069768.2775456076
31744.94556765163,2061315.4655834427
32136.858475894245,2053248.0132480396
32528.771384136857,2045863.6427078708
32920.68429237947,2039426.9865777255
33312.59720062208,2034157.42331458
33704.51010886469,2030218.802055614
34096.42301710731,2027711.9353456488
34488.33592534992,2026670.581836807
34880.24883359253,2027061.3487586628
35272.161741835145,2028787.5684749505
35664.07465007776,2031696.806967502
36055.98755832037,2035591.3060711692
36447.900466562984,2040240.399115515
36839.8133748056,2045393.8092654352
37231.72628304821,2050794.755235829
37623.63919129082,2056191.9364371346
38015.55209953344,2061349.7115503845
38407.465007776045,2066056.0702536404
38799.37791601866,2070128.2762683192
39191.290824261276,2073416.2920488229
39583.203732503884,2075804.2594823437
39975.1166407465,2077210.402237601
40367.029548989114,2077585.7424227518
40758.94245723172,2076912.0027480542
41150.85536547434,2075199.012885485
41542.76827371695,2072481.8710488086
41934.68118195956,2068818.0408850377
42326.594090202176,2064284.4981333157
42718.50699844479,2058974.9855169444
43110.4199066874,2053054.6940080838
43502.332814930014,3005124.1031721476
43894.24572317263,3078595.9439439187
44286.15863141524,3114150.720900977
44678.07153965785,3138774.7098967116
45069.98444790046,3158989.41099641
45461.897356143076,3171954.1387248198
45853.81026438569,3185258.0603790944
46245.7231726283,3194770.7289492963
46637.636080870914,3205870.319193192
47029.54898911353,3211725.3063014946
47421.46189735614,3219394.0495638507
47813.37480559875,3227717.566826078
48205.28771384137,3231440.939863078
48597.200622083976,3236415.676344609
48989.11353032659,3243754.079827127
49381.026438569206,3248690.6018408136
49772.939346811814,3251380.036967126
50164.85225505443,3254815.076473574
50556.765163297045,3260908.386305147
50948.67807153965,3266664.4881683215
51340.59097978227,3268864.138404214
51732.50388802488,3270796.664385518
52124.41679626749,3272910.5189831695
52516.329704510106,3277866.3139784215
52908.24261275272,3284355.722793013
53300.15552099533,3286052.114175907
53692.068429237945,3287535.3973731333
54083.98133748056,3288875.7955217175
54475.89424572317,3290096.558153813
54867.80715396578,3291215.8450787244
55259.7200622084,3292886.874719184
55651.632970451006,3296994.768996003
56043.54587869362,3301598.129463698
