KNOWN VARIABLE VALUES
Porosity,Permeability
0.091,7.27e-16

KNOWN WELL PARAMETERS
Initial Pressure,Initial X,Layer Thickness,Action Well Radius,Rock Specific Heat,Rock Heat Conductivity,Rock Density,Rock Compressibility
13886733.939886043,0.1,200,0.2,1000,2.5,2500,0.0

GRID INFORMATION
Number of Grid Blocks,Number of Constant Sized Blocks,Constant Block Size,Block Growth Factor
100,10,0.1,1.2

PUMP INFORMATION
Pumping Scheme,Number of Pump Times,Deliverability,Production Index,Cutoff Pressure
Measured Flows,279,0,0.0,0.0

Time [s],Mass Flowrate [kg/s]
0.0,-5.82
43200.0,-5.14
86400.0,-5.19
130000.0,-5.25
173000.0,-4.69
216000.0,-4.14
259000.0,-3.89
302000.0,-3.64
346000.0,-3.57
389000.0,-3.5
432000.0,-3.64
475000.0,-3.78
518000.0,-3.72
562000.0,-3.67
605000.0,-3.44
648000.0,-3.22
691000.0,-3.25
734000.0,-3.28
778000.0,-3.71
821000.0,-4.14
864000.0,-3.85
907000.0,-3.56
950000.0,-3.51
994000.0,-3.47
1040000.0,-3.58
1080000.0,-3.69
1120000.0,-3.56
1170000.0,-3.42
1210000.0,-3.76
1250000.0,-4.11
1300000.0,-3.78
1340000.0,-3.44
1380000.0,-3.61
1430000.0,-3.78
1470000.0,-3.53
1510000.0,-3.28
1560000.0,-3.31
1600000.0,-3.33
1640000.0,-3.29
1680000.0,-3.25
1730000.0,-3.31
1770000.0,-3.36
1810000.0,-3.29
1860000.0,-3.22
1900000.0,-3.26
1940000.0,-3.31
1990000.0,-3.53
2030000.0,-3.75
2070000.0,-3.46
2120000.0,-3.17
2160000.0,-3.29
2200000.0,-3.42
2250000.0,-3.42
2290000.0,-3.42
2330000.0,-3.47
2380000.0,-3.53
2420000.0,-3.32
2460000.0,-3.11
2510000.0,-3.11
2550000.0,-3.11
2590000.0,-3.39
2640000.0,-3.67
2680000.0,-3.15
2720000.0,-2.64
2760000.0,-2.75
2810000.0,-2.86
2850000.0,-2.83
2890000.0,-2.81
2940000.0,-2.81
2980000.0,-2.81
3020000.0,-3.1
3070000.0,-3.39
3110000.0,-3.18
3150000.0,-2.97
3200000.0,-3.07
3240000.0,-3.17
3280000.0,-3.13
3330000.0,-3.08
3370000.0,-3.04
3410000.0,-3.0
3460000.0,-2.96
3500000.0,-2.92
3540000.0,-2.96
3590000.0,-3.0
3630000.0,-3.07
3670000.0,-3.14
3720000.0,-3.1
3760000.0,-3.06
3800000.0,-2.99
3840000.0,-2.92
3890000.0,-2.86
3930000.0,-2.81
3970000.0,-3.01
4020000.0,-3.22
4060000.0,-3.13
4100000.0,-3.03
4150000.0,-1.51
4190000.0,0.0
4230000.0,0.0
4280000.0,0.0
4320000.0,0.0
4360000.0,0.0
4410000.0,-1.99
4450000.0,-3.97
4490000.0,-3.88
4540000.0,-3.78
4580000.0,-3.88
4620000.0,-3.97
4670000.0,-3.78
4710000.0,-3.58
4750000.0,-1.79
4800000.0,0.0
4840000.0,-2.15
4880000.0,-4.31
4920000.0,-4.22
4970000.0,-4.14
5010000.0,-4.08
5050000.0,-4.03
5100000.0,-4.04
5140000.0,-4.06
5180000.0,-4.07
5230000.0,-4.08
5270000.0,-4.17
5310000.0,-4.25
5360000.0,-4.35
5400000.0,-4.44
5440000.0,-4.53
5490000.0,-4.61
5530000.0,-4.5
5570000.0,-4.39
5620000.0,-4.4
5660000.0,-4.42
5700000.0,-4.32
5750000.0,-4.22
5790000.0,-4.28
5830000.0,-4.33
5880000.0,-4.28
5920000.0,-4.22
5960000.0,-4.39
6000000.0,-4.56
6050000.0,-4.5
6090000.0,-4.44
6130000.0,-4.5
6180000.0,-4.56
6220000.0,-4.36
6260000.0,-4.17
6310000.0,-4.39
6350000.0,-4.61
6390000.0,-4.5
6440000.0,-4.39
6480000.0,-4.28
6520000.0,-4.17
6570000.0,-4.17
6610000.0,-4.17
6650000.0,-4.08
6700000.0,-4.0
6740000.0,-4.06
6780000.0,-4.11
6830000.0,-3.88
6870000.0,-3.64
6910000.0,-3.61
6960000.0,-3.58
7000000.0,-3.15
7040000.0,-2.72
7080000.0,-2.93
7130000.0,-3.14
7170000.0,-3.04
7210000.0,-2.94
7260000.0,-2.72
7300000.0,-2.5
7340000.0,-2.51
7390000.0,-2.53
7430000.0,-2.51
7470000.0,-2.5
7520000.0,-2.17
7560000.0,-1.83
7600000.0,-1.74
7650000.0,-1.64
7690000.0,-1.67
7730000.0,-1.69
7780000.0,-1.47
7820000.0,-1.25
7860000.0,-1.54
7910000.0,-1.83
7950000.0,-1.78
7990000.0,-1.72
8040000.0,-1.69
8080000.0,-1.67
8120000.0,-1.81
8160000.0,-1.94
8210000.0,-1.9
8250000.0,-1.86
8290000.0,-1.83
8340000.0,-1.81
8380000.0,-0.903
8420000.0,0.0
8470000.0,0.0
8510000.0,0.0
8550000.0,0.0
8600000.0,0.0
8640000.0,0.0
8680000.0,0.0
8730000.0,0.0
8770000.0,0.0
8810000.0,0.0
8860000.0,0.0
8900000.0,0.0
8940000.0,0.0
8990000.0,0.0
9030000.0,0.0
9070000.0,-3.68
9120000.0,-7.36
9160000.0,-9.44
9200000.0,-11.5
9240000.0,-11.5
9290000.0,-11.6
9330000.0,-11.5
9370000.0,-11.5
9420000.0,-11.3
9460000.0,-11.2
9500000.0,-11.1
9550000.0,-10.9
9590000.0,-10.7
9630000.0,-10.6
9680000.0,-10.4
9720000.0,-10.2
9760000.0,-10.3
9810000.0,-10.4
9850000.0,-10.3
9890000.0,-10.1
9940000.0,-10.0
9980000.0,-9.86
10000000.0,-9.96
10100000.0,-10.1
10100000.0,-10.4
10200000.0,-10.7
10200000.0,-9.79
10200000.0,-8.89
10300000.0,-8.85
10300000.0,-8.81
10400000.0,-8.78
10400000.0,-8.75
10500000.0,-8.89
10500000.0,-9.03
10500000.0,-9.03
10600000.0,-9.03
10600000.0,-9.24
10700000.0,-9.44
10700000.0,-9.51
10800000.0,-9.58
10800000.0,-9.33
10800000.0,-9.08
10900000.0,-9.15
10900000.0,-9.22
11000000.0,-9.33
11000000.0,-9.44
11100000.0,-9.38
11100000.0,-9.31
11100000.0,-9.18
11200000.0,-9.06
11200000.0,-9.04
11300000.0,-9.03
11300000.0,-8.96
11400000.0,-8.89
11400000.0,-9.1
11400000.0,-9.31
11500000.0,-9.1
11500000.0,-8.89
11600000.0,-8.99
11600000.0,-9.08
11700000.0,-9.15
11700000.0,-9.22
11800000.0,-9.26
11800000.0,-9.31
11800000.0,-9.38
11900000.0,-9.44
11900000.0,-9.24
12000000.0,-9.03
12000000.0,-9.03

OBSERVATION POINT 1
Property Observed,Radial Location [m],Number of Observations
Pressure,0.099,123

Time [s],Observation
0.0,8275000.0
86400.0,10293000.0
172800.0,10913000.0
259200.0,10947000.0
345600.0,11294000.0
432000.0,11731000.0
518400.0,10661000.0
604800.0,10695000.0
691200.0,10725000.0
777600.0,10834000.0
864000.0,10545000.0
950400.0,10313000.0
1036800.0,9266000.0
1123200.0,9863000.0
1209600.0,10015000.0
1296000.0,8816000.0
1382400.0,9473000.0
1468800.0,9195000.0
1555200.0,10448000.0
1641600.0,9707000.0
1728000.0,9628000.0
1814400.0,9659000.0
1900800.0,9668000.0
1987200.0,9589000.0
2073600.0,10208000.0
2160000.0,9568000.0
2246400.0,8962000.0
2332800.0,9510000.0
2419200.0,10451000.0
2505600.0,9643000.0
2592000.0,10200000.0
2678400.0,10993000.0
2764800.0,10596000.0
2851200.0,10723000.0
2937600.0,10440000.0
3024000.0,10444000.0
3110400.0,10929000.0
3196800.0,10025000.0
3283200.0,10151000.0
3369600.0,9893000.0
3456000.0,10115000.0
3542400.0,9806000.0
3628800.0,9884000.0
3715200.0,10224000.0
3801600.0,9939000.0
3888000.0,9770000.0
3974400.0,10613000.0
4060800.0,10234000.0
4147200.0,9733000.0
4492800.0,11977000.0
4579200.0,8559000.0
4665600.0,8640000.0
4752000.0,8795000.0
4924800.0,8887000.0
5097600.0,7443000.000000001
5184000.0,6866000.0
5270400.0,6252000.0
5356800.0,5951000.0
5443200.0,5845000.0
5529600.0,5865000.0
5616000.0,5726000.0
5702400.0,5749000.0
5788800.0,5597000.0
5875200.0,5395000.0
5961600.0,5379000.0
6048000.0,6251000.0
6134400.0,6306000.0
6220800.0,6039000.0
6307200.0,5770000.0
6393600.0,5955000.0
6480000.0,6024000.0
6566400.0,6351000.0
6652800.0,6791000.0
6739200.0,7270000.0
6825600.0,7764000.0
6912000.0,8303000.0
6998400.0,9039000.0
7084800.0,9203000.0
7171200.0,9558000.0
7257600.0,9572000.0
7344000.0,9071000.0
7516800.0,9166000.0
7603200.0,9507000.0
7689600.0,9009000.0
7776000.0,8059000.0
7862400.0,7669000.0
7948800.0,8252000.0
8121600.0,8156999.999999999
8208000.0,7003000.0
8294400.0,7337000.0
8380800.0,7429000.000000001
9158400.0,3082000.0
9244800.0,3497000.0
9417600.0,2808000.0
9504000.0,2777000.0
9590400.0,2689000.0
9763200.0,2637000.0
9849600.0,2624000.0
9936000.0,2546000.0
10022400.0,2574000.0
10108800.0,2506000.0
10195200.0,2581000.0
10281600.0,2299000.0
10368000.0,2238000.0
10454400.0,2300000.0
10540800.0,2269000.0
10627200.0,2275000.0
10713600.0,2347000.0
10800000.0,2334000.0
10886400.0,2293000.0
10972800.0,2334000.0
11059200.0,2296000.0
11145600.0,2317000.0
11232000.0,2284000.0
11318400.0,2280000.0
11404800.0,2239000.0
11491200.0,2255000.0
11577600.0,2336000.0
11664000.0,2239000.0
11750400.0,2228000.0
11836800.0,2249000.0
11923200.0,2236000.0
12009600.0,2239000.0

OBSERVATION POINT 2
Property Observed,Radial Location [m],Number of Observations
Enthalpy,0.099,123

Time [s],Observation
0.0,1647000.0
86400.0,1561000.0
172800.0,1652000.0
259200.0,1674000.0
345600.0,1691000.0
432000.0,1656000.0
518400.0,1832000.0
604800.0,1807000.0
691200.0,1831000.0
777600.0,1814000.0
864000.0,1846000.0
950400.0,1887000.0
1036800.0,2045000.0
1123200.0,1909000.0
1209600.0,1911000.0
1296000.0,2118000.0
1382400.0,1948000.0
1468800.0,2070000.0
1555200.0,1848000.0
1641600.0,1989000.0
1728000.0,1975000.0
1814400.0,1967000.0
1900800.0,1964000.0
1987200.0,1986000.0
2073600.0,1924000.0
2160000.0,1956000.0
2246400.0,2062000.0
2332800.0,2009000.0
2419200.0,1845000.0
2505600.0,2006000.0
2592000.0,1910000.0
2678400.0,1807000.0
2764800.0,1884000.0
2851200.0,1881000.0
2937600.0,1902000.0
3024000.0,1901000.0
3110400.0,1842000.0
3196800.0,2005000.0
3283200.0,1958000.0
3369600.0,2007000.0
3456000.0,1982000.0
3542400.0,2031000.0
3628800.0,2009000.0
3715200.0,1950000.0
3801600.0,1994000.0
3888000.0,2005000.0
3974400.0,1900000.0
4060800.0,1966000.0
4147200.0,2016000.0
4492800.0,1693000.0
4579200.0,2069000.0
4665600.0,2103000.0
4752000.0,2067000.0
4924800.0,2021000.0
5097600.0,2134000.0
5184000.0,2140000.0
5270400.0,2237000.0
5356800.0,2184000.0
5443200.0,2205000.0
5529600.0,2180000.0
5616000.0,2223000.0
5702400.0,2158000.0
5788800.0,2248000.0
5875200.0,2216000.0
5961600.0,2248000.0
6048000.0,2173000.0
6134400.0,2206000.0
6220800.0,2220000.0
6307200.0,2302000.0
6393600.0,2203000.0
6480000.0,2227000.0
6566400.0,2241000.0
